City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
75,Kapaa,US,22.0752,-159.319,77.0,83,75,8.05,broken clouds
76,Longyearbyen,SJ,78.2186,15.6401,30.2,69,75,11.5,broken clouds
77,Atuona,PF,-9.8,-139.0333,77.94,79,100,18.34,overcast clouds
78,Hobart,AU,-42.8794,147.3294,60.8,82,20,12.66,few clouds
79,Georgetown,MY,5.4112,100.3354,77.0,83,20,4.61,few clouds
80,Kaseda,JP,31.4167,130.3167,33.01,69,90,4.0,overcast clouds
81,Kaitangata,NZ,-46.2817,169.8464,57.99,51,27,7.0,scattered clouds
82,Chuy,UY,-33.6971,-53.4616,80.08,74,8,14.23,clear sky
83,Ucluelet,CA,48.9329,-125.5528,48.0,100,90,13.8,fog
84,Trindade,BR,-16.6494,-49.4889,80.6,69,40,8.05,light rain
85,Marsabit,KE,2.3284,37.9899,69.19,53,0,10.07,clear sky
86,Akyab,MM,20.15,92.9,70.21,74,23,8.59,few clouds
87,Tual,ID,-5.6667,132.75,83.79,74,100,5.53,overcast clouds
88,Hithadhoo,MV,-0.6,73.0833,81.09,75,100,13.47,overcast clouds
89,Kintinku,TZ,-5.8833,35.2333,69.8,83,40,4.61,scattered clouds
90,Selikhino,RU,50.3672,137.4996,-10.86,88,100,6.26,overcast clouds
91,Kudahuvadhoo,MV,2.6708,72.8944,81.16,70,65,10.33,broken clouds
92,Bredasdorp,ZA,-34.5322,20.0403,66.2,63,100,8.05,overcast clouds
93,Port Pirie,AU,-33.1833,138.0167,71.6,35,5,8.05,clear sky
94,Foso,GH,5.7012,-1.2866,77.2,86,22,3.8,few clouds
95,Vostok,RU,46.4856,135.8833,-11.74,90,100,4.7,overcast clouds
96,Carnarvon,AU,-24.8667,113.6333,75.2,83,0,17.27,clear sky
97,Pevek,RU,69.7008,170.3133,-25.87,87,100,3.56,overcast clouds
98,Ponta Do Sol,PT,32.6667,-17.1,54.0,66,42,3.0,scattered clouds
99,Hermanus,ZA,-34.4187,19.2345,66.0,71,80,4.0,broken clouds
100,Port Hedland,AU,-20.3167,118.5667,82.4,89,98,1.14,overcast clouds
101,Paita,PE,-5.0892,-81.1144,84.2,61,0,19.57,clear sky
102,Lorengau,PG,-2.0226,147.2712,81.14,69,100,1.45,overcast clouds
103,Teguise,ES,29.0605,-13.564,60.8,67,75,13.8,broken clouds
104,Altamira,BR,-3.2033,-52.2064,78.8,89,40,3.98,light rain
105,Birao,CF,10.2849,22.7882,70.02,22,88,6.17,overcast clouds
106,Bandarbeyla,SO,9.4942,50.8122,72.36,72,7,23.35,clear sky
107,Qaanaaq,GL,77.484,-69.3632,-1.14,74,0,6.29,clear sky
108,Barrow,US,71.2906,-156.7887,5.0,78,90,10.36,haze
109,Carauari,BR,-4.8828,-66.8958,87.22,60,94,2.95,light rain
110,Genhe,CN,50.7833,121.5167,-14.33,86,100,1.23,light snow
111,Izhevskoye,RU,54.5567,40.8703,7.48,95,79,6.51,broken clouds
112,Cherskiy,RU,68.75,161.3,-32.57,84,100,2.19,overcast clouds
113,Tasiilaq,GL,65.6145,-37.6368,17.6,49,75,2.3,broken clouds
114,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-2.2,78,56,6.71,broken clouds
115,Acapulco,MX,16.8634,-99.8901,86.0,62,40,9.22,scattered clouds
116,Abu Dhabi,AE,24.4667,54.3667,64.4,63,0,4.61,clear sky
117,Hovd,MN,48.0056,91.6419,0.91,78,91,4.09,overcast clouds
118,Bosaso,SO,11.2842,49.1816,73.36,62,100,5.53,overcast clouds
119,Namatanai,PG,-3.6667,152.4333,78.08,84,100,4.63,light rain
120,Sitka,US,57.0531,-135.33,42.8,81,90,14.97,light rain
121,Laguna,US,38.421,-121.4238,54.0,93,20,6.02,mist
122,Esperance,AU,-33.8667,121.9,59.0,77,40,6.91,scattered clouds
123,Abbeville,FR,50.1,1.8333,35.01,85,0,1.79,clear sky
124,Iqaluit,CA,63.7506,-68.5145,5.0,78,75,12.66,snow
125,Takoradi,GH,4.8845,-1.7554,79.86,83,1,9.48,clear sky
126,Nefteyugansk,RU,61.0998,72.6035,-13.0,77,0,6.71,clear sky
127,Caravelas,BR,-17.7125,-39.2481,81.14,73,19,10.22,few clouds
