City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Bastia,FR,2021-01-06 18:52:25,42.6667,9.3333,45.0,56,0,9.17
196,Pimenta Bueno,BR,2021-01-06 18:52:25,-11.6725,-61.1936,85.84,66,97,4.54
197,Portland,US,2021-01-06 18:48:03,45.5234,-122.6762,48.0,87,90,10.29
198,Ostrovnoy,RU,2021-01-06 18:48:58,68.0531,39.5131,14.59,95,99,15.73
199,Ahipara,NZ,2021-01-06 18:47:46,-35.1667,173.1667,66.72,77,100,4.7
200,Tekeli,KZ,2021-01-06 18:52:26,44.83,78.8239,13.14,74,100,5.68
201,Deputatskiy,RU,2021-01-06 18:43:01,69.3,139.9,-22.81,85,17,5.64
202,Los Llanos De Aridane,ES,2021-01-06 18:48:48,28.6585,-17.9182,71.6,60,20,10.29
203,Yulara,AU,2021-01-06 18:43:30,-25.2406,130.9889,71.6,24,0,10.29
204,Benjamin Aceval,PY,2021-01-06 18:52:26,-24.9667,-57.5667,91.4,55,75,5.82
205,Ureki,GE,2021-01-06 18:52:27,41.9956,41.7786,50.0,57,0,12.75
206,Vestmannaeyjar,IS,2021-01-06 18:52:27,63.4427,-20.2734,26.6,63,40,17.22
207,Salalah,OM,2021-01-06 18:46:55,17.0151,54.0924,71.6,49,0,5.82
208,Grand-Santi,GF,2021-01-06 18:47:18,4.25,-54.3833,81.25,88,100,4.99
209,Nakusp,CA,2021-01-06 18:52:27,50.2499,-117.8023,35.6,93,100,3.36
210,Tucuman,AR,2021-01-06 18:50:27,-26.8241,-65.2226,73.4,78,90,4.7
211,Leningradskiy,RU,2021-01-06 18:47:05,69.3833,178.4167,-5.76,90,100,10.63
212,Inta,RU,2021-01-06 18:49:53,66.0317,60.1659,1.74,93,4,7.47
213,Langenburg,DE,2021-01-06 18:52:28,49.2544,9.8458,32.0,99,100,4.7
214,Chanderi,IN,2021-01-06 18:50:33,24.7167,78.1333,62.62,68,0,4.94
215,Vestmanna,FO,2021-01-06 18:52:29,62.1564,-7.1664,37.4,84,29,16.11
216,Yellowknife,CA,2021-01-06 18:52:29,62.456,-114.3525,19.4,92,90,18.34
217,Farah,AF,2021-01-06 18:52:29,32.5,62.5,28.53,83,0,3.36
218,Maple Creek,CA,2021-01-06 18:51:28,49.9168,-109.4848,44.6,45,93,17.22
219,Bambous Virieux,MU,2021-01-06 18:47:36,-20.3428,57.7575,78.01,73,40,5.82
220,Avera,US,2021-01-06 18:52:30,33.194,-82.5271,53.6,46,1,6.93
221,Faanui,PF,2021-01-06 18:45:19,-16.4833,-151.75,80.29,76,21,13.06
222,Grants,US,2021-01-06 18:52:30,35.1473,-107.8514,39.2,27,1,11.41
223,Esperance,AU,2021-01-06 18:45:13,-33.8667,121.9,53.6,81,0,8.05
224,Kingman,US,2021-01-06 18:52:31,35.1894,-114.053,57.99,29,1,4.7
225,Kavaratti,IN,2021-01-06 18:42:57,10.5669,72.642,78.82,83,100,15.97
226,Winona,US,2021-01-06 18:52:31,43.9666,-91.7668,26.6,100,90,5.68
227,Hosingen,LU,2021-01-06 18:52:31,50.0178,6.0933,35.01,90,100,1.01
228,Gornyye Klyuchi,RU,2021-01-06 18:52:31,45.25,133.5,-13.27,90,48,2.24
229,Iisalmi,FI,2021-01-06 18:52:32,63.5592,27.1907,21.2,85,90,5.82
230,Lompoc,US,2021-01-06 18:46:50,34.6391,-120.4579,55.0,71,1,8.79
231,Noumea,NC,2021-01-06 18:49:25,-22.2763,166.4572,81.0,88,40,2.24
232,Prince Rupert,CA,2021-01-06 18:52:32,54.3161,-130.3201,44.6,81,75,9.17
233,Aloleng,PH,2021-01-06 18:52:33,16.1307,119.7824,77.72,80,0,6.06
234,Panama City,PA,2021-01-06 18:49:19,8.9936,-79.5197,89.01,55,40,14.99
235,Souillac,MU,2021-01-06 18:46:54,-20.5167,57.5167,77.0,73,40,5.82
236,Kununurra,AU,2021-01-06 18:47:36,-15.7667,128.7333,77.0,100,75,9.17
237,Baijiantan,CN,2021-01-06 18:52:33,45.6333,85.1833,-2.4,86,100,3.71
238,San Francisco Del Mar,MX,2021-01-06 18:52:34,16.2333,-94.65,83.01,57,36,4.99
239,Barquisimeto,VE,2021-01-06 18:52:34,10.0739,-69.3228,86.0,42,20,5.82
240,Saskylakh,RU,2021-01-06 18:45:21,71.9167,114.0833,8.17,93,100,29.17
241,Brigantine,US,2021-01-06 18:52:34,39.4101,-74.3646,46.0,48,1,18.34
242,Sinnamary,GF,2021-01-06 18:50:10,5.3833,-52.95,80.89,82,75,11.95
243,Matara,LK,2021-01-06 18:52:35,5.9485,80.5353,76.23,87,100,2.57
244,Kamakhyanagar,IN,2021-01-06 18:52:35,20.9333,85.55,66.29,69,0,1.12
245,Raudeberg,NO,2021-01-06 18:52:35,61.9875,5.1352,36.0,75,0,18.03
246,Axim,GH,2021-01-06 18:47:15,4.8699,-2.2405,79.21,83,99,10.29
247,Visnes,NO,2021-01-06 18:50:16,59.3556,5.2242,23.0,85,40,6.93
248,Huarmey,PE,2021-01-06 18:46:49,-10.0681,-78.1522,76.41,65,4,12.26
249,Arrifes,PT,2021-01-06 18:52:36,37.7667,-25.7,55.4,62,20,23.04
