City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
62,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
63,Mount Isa,AU,78.8,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
66,Mar Del Plata,AR,77.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
67,Jalu,LY,67.48,few clouds,29.0331,21.5482,صاحبة الفخامة
68,Punta Arenas,CL,48.2,light rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
69,Cascais,PT,46.0,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
72,Itambe,BR,82.09,few clouds,-15.245,-40.6244,Pousada Bom Jesus da Lapa
75,Kapaa,US,77.0,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
77,Atuona,PF,77.94,overcast clouds,-9.8,-139.0333,Villa Enata
78,Hobart,AU,60.8,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
79,Georgetown,MY,77.0,few clouds,5.4112,100.3354,Cititel Penang
81,Kaitangata,NZ,57.99,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
82,Chuy,UY,80.08,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
83,Ucluelet,CA,48.0,fog,48.9329,-125.5528,Black Rock Oceanfront Resort
84,Trindade,BR,80.6,light rain,-16.6494,-49.4889,Pousada Central
85,Marsabit,KE,69.19,clear sky,2.3284,37.9899,Chicho Hotel
86,Akyab,MM,70.21,few clouds,20.15,92.9,Hotel Memory
87,Tual,ID,83.79,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
88,Hithadhoo,MV,81.09,overcast clouds,-0.6,73.0833,Scoop Guest House
91,Kudahuvadhoo,MV,81.16,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
92,Bredasdorp,ZA,66.2,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
93,Port Pirie,AU,71.6,clear sky,-33.1833,138.0167,John Pirie Motor Inn
94,Foso,GH,77.2,few clouds,5.7012,-1.2866,Pristina Cottage
96,Carnarvon,AU,75.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
98,Ponta Do Sol,PT,54.0,scattered clouds,32.6667,-17.1,Hotel do Campo
99,Hermanus,ZA,66.0,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
100,Port Hedland,AU,82.4,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
101,Paita,PE,84.2,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
102,Lorengau,PG,81.14,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
103,Teguise,ES,60.8,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
104,Altamira,BR,78.8,light rain,-3.2033,-52.2064,Requinte Hotel
106,Bandarbeyla,SO,72.36,clear sky,9.4942,50.8122,JABIR HOTEL
116,Abu Dhabi,AE,64.4,clear sky,24.4667,54.3667,Beach Rotana
